Species	Phylum	Host_class	Host_superorder	Common_name	Biota	Host_order	Host_suborder	Genome_type	Version
Columba_livia	Vertebrates	Reptiles	Neognathae	Pigeon	Terrestrial	Columbiformes	NULL	low_coverage	bgi_2011-10-28
Merops_nubicus	Vertebrates	Reptiles	Neognathae	Carmine bee-eater	Terrestrial	Coraciiformes	NULL	low_coverage	bgi_2011-10-28
Cuculus_canorus	Vertebrates	Reptiles	Neognathae	Common cuckoo	Terrestrial	Cuculiformes	NULL	low_coverage	bgi_2011-10-28
Eurypyga_helias	Vertebrates	Reptiles	Neognathae	Sunbittern	Terrestrial	Eurypygiformes	NULL	low_coverage	bgi_2011-10-28
Falco_peregrinus	Vertebrates	Reptiles	Neognathae	Peregrine falcon	Terrestrial	Falconiformes	NULL	low_coverage	bgi_2011-10-28
Gallus_gallus	Vertebrates	Reptiles	Neognathae	Chicken	Terrestrial	Galliformes	NULL	complete	goldenpath_galGal4
Meleagris_gallopavo	Vertebrates	Reptiles	Neognathae	Turkey	Terrestrial	Galliformes	NULL	low_coverage	goldenpath_melGal1
Gavia_stellata	Vertebrates	Reptiles	Neognathae	Red-throated loon	Aquatic	Gaviiformes	NULL	low_coverage	bgi_2011-10-28
Balearica_regulorum	Vertebrates	Reptiles	Neognathae	Grey-crowned crane	Terrestrial	Gruiformes	NULL	low_coverage	bgi_2011-10-28
Leptosomus_discolor	Vertebrates	Reptiles	Neognathae	Cuckoo-roller	Terrestrial	Leptosomiformes	NULL	low_coverage	bgi_2011-10-28
Mesitornis_unicolor	Vertebrates	Reptiles	Neognathae	Brown mesite	Terrestrial	Mesitornithiformes	NULL	low_coverage	bgi_2011-10-28
Tauraco_erythrolophus	Vertebrates	Reptiles	Neognathae	Red-crested turaco	Terrestrial	Musophagiformes	NULL	low_coverage	bgi_2011-10-28
Opisthocomus_hoazin	Vertebrates	Reptiles	Neognathae	Hoatzin	Terrestrial	Opisthocomiformes	NULL	low_coverage	bgi_2011-10-28
Chlamydotis_undulata	Vertebrates	Reptiles	Neognathae	Macqueens bustard	Terrestrial	Otidiformes	NULL	low_coverage	bgi_2011-10-28
Acanthisitta_chloris	Vertebrates	Reptiles	Neognathae	Rifleman	Terrestrial	Passeriformes	NULL	low_coverage	bgi_2011-10-28
